,Type,Method,Test score,Train score,True Negative,True Positive,False Negative,False Positive
0,Classification,KNN,1.0,1.0,0.7222222222222222,0.2777777777777778,0.0,0.0
1,Classification,Logistic Regression,0.9444444444444444,1.0,0.7222222222222222,0.25925925925925924,0.018518518518518517,0.0
2,Classification,Decision Tree,1.0,1.0,0.7222222222222222,0.2777777777777778,0.0,0.0
3,Classification,Random Forest,1.0,1.0,0.7222222222222222,0.2777777777777778,0.0,0.0
4,Unsupervised,Robust covariance,0.6296296296296297,,0.6296296296296297,0.0,0.2777777777777778,0.09259259259259259
5,Unsupervised,One-Class SVM,0.6851851851851852,,0.6111111111111112,0.07407407407407407,0.2037037037037037,0.1111111111111111
6,Unsupervised,Isolation Forest,0.7037037037037037,,0.6666666666666666,0.037037037037037035,0.24074074074074073,0.05555555555555555
7,Unsupervised,Local Outlier Factor,0.8148148148148148,,0.7222222222222222,0.09259259259259259,0.18518518518518517,0.0
