,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
762453,0.68,0.057064223622223874,0.0057802406426275136,5.079324882466895e-115,5.079324882466895e-115,1.947310292354279e-110,0.5585594327069068,0.0057802406426275136,4.867742419195571e-121,7.413068747384117e-114,8.021360000743496e-125,HV,-1
762492,0.5,0.0057802406426275136,0.15915169261452353,9.784669328557815e-98,,8.915260028473417e-101,0.0057802406426275136,0.15915169261452353,4.878293410200004e-106,,6.657385806928597e-104,HV,-1
762455,0.6,0.15915169261452353,0.8304634168517532,1.051485277589484e-112,1.947310292354279e-110,,0.15915169261452353,0.9990098806936499,4.878293410200004e-106,7.5072648461109715e-103,,HV,-1
762457,0.48,0.8304634168517532,0.9952074388694081,,3.3799574079262145e-116,7.413068747384117e-114,0.9990098806936499,0.07105129403332416,,9.69148200161917e-99,8.915260028473417e-101,HV,-1
762459,0.48,0.9952074388694081,0.10785099672172843,1.051485277589484e-112,2.545751991955838e-109,1.947310292354279e-110,0.07105129403332416,0.42876959833128964,7.413068747384117e-114,1.051485277589484e-112,1.947310292354279e-110,HV,-1
762463,0.46,0.10785099672172843,0.4916898698540652,8.273631465818134e-102,2.7637365383711114e-122,9.784669328557815e-98,0.42876959833128964,0.6280441779187196,2.545751991955838e-109,2.0083285843888334e-127,1.051485277589484e-112,HV,-1
762467,0.64,0.4916898698540652,0.010101005217988925,9.784669328557815e-98,,2.7637365383711114e-122,0.6280441779187196,0.01715995048736122,1.4505104598542114e-111,,2.0083285843888334e-127,HV,-1
768426,0.56,0.010101005217988925,1.4441813162158956e-14,2.7637365383711114e-122,8.273631465818134e-102,,0.01715995048736122,2.1601819722931786e-13,2.7637365383711114e-122,4.878293410200004e-106,,HV,-1
717140,0.84,1.4441813162158956e-14,1.6116173607689716e-70,,8.926402876821863e-42,2.707778156757584e-71,2.1601819722931786e-13,1.1791218157549974e-73,,7.006828784570818e-47,6.8304146268872276e-77,HV,-1
768743,20.64,1.6116173607689716e-70,2.1745063091407918e-79,0.10785099672172843,0.07105129403332416,2.157374287889546e-22,1.1791218157549974e-73,2.8393015726534797e-54,0.13147918885221888,0.02213087446680441,6.743148868801961e-21,HV,-1
