,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
761117,0.44,0.9998945640423377,0.9998945640423377,1.2263118062588385e-21,2.157374287889546e-22,3.780982629046643e-25,0.22823192819157445,0.3706474470171066,2.6637411820421683e-30,1.027010718195644e-45,4.354565666586339e-28,HV,0
773195,0.48,0.9998945640423377,0.9952074388694081,1.4951013308512084e-23,1.2263118062588385e-21,8.936182712091501e-23,0.3706474470171066,0.31778103283453074,6.743148868801961e-21,9.206783150259314e-19,5.053167175939877e-35,HV,0
761138,0.52,0.9952074388694081,0.9999999786717801,2.8875365205513346e-21,1.2263118062588385e-21,1.5617752839811438e-20,0.31778103283453074,0.4916898698540652,7.006828784570818e-47,3.7390849302645935e-40,5.165007853947324e-22,HV,0
761149,0.56,0.9999999786717801,1.4951013308512084e-23,2.8875365205513346e-21,3.563758645331359e-15,1.2263118062588385e-21,0.4916898698540652,4.3055912093737255e-08,2.0306071725849707e-18,8.936182712091501e-23,1.4527324837068053e-33,HV,0
761174,10.24,1.4951013308512084e-23,0.00023171683026536511,0.270329069484192,3.029792736440307e-07,3.462166085630029e-10,4.3055912093737255e-08,2.185287332053759e-62,3.1437787896692656e-27,0.0012649386262903305,1.2120300423138108e-06,HV,1
769703,30.44,0.00023171683026536511,8.336982992857103e-27,1.5617752839811438e-20,3.462166085630029e-10,1.7496489473203055e-15,2.185287332053759e-62,2.8393015726534797e-54,8.171971774555533e-64,4.786653114517815e-34,4.581617798606835e-48,HV,1
761188,0.56,8.336982992857103e-27,5.2402031702164816e-05,1.0918261406495755e-10,2.1601819722931786e-13,1.5150272731082582e-12,2.8393015726534797e-54,0.00046676589861970356,2.0759331623867817e-17,2.1917351515813012e-26,4.1407391555186358e-19,HV,0
769773,0.88,5.2402031702164816e-05,0.045509644873646095,1.5617752839811438e-20,2.4183748761022484e-24,1.5617752839811438e-20,0.00046676589861970356,0.270329069484192,2.4183748761022484e-24,1.1238344263824481e-31,4.2915578655425274e-39,HV,0
772859,0.88,0.045509644873646095,0.9952074388694081,5.672737421572143e-14,2.873397022937326e-14,9.642024586720331e-18,0.270329069484192,0.01715995048736122,1.4527324837068053e-33,1.9515732948808837e-10,2.1917351515813012e-26,HV,0
772874,1.04,0.9952074388694081,0.9990098806936499,8.522774511431384e-16,2.1917351515813012e-26,2.8558264098090667e-12,0.01715995048736122,0.0878469342643513,4.736365726008814e-38,4.581617798606835e-48,8.522774511431384e-16,HV,0
761199,1.0,0.9990098806936499,0.9644366597493446,7.975937231442947e-13,5.8229685535173e-29,9.60323195352951e-25,0.0878469342643513,0.19127733096650482,6.062430861827832e-11,5.415950550882715e-53,4.2915578655425274e-39,HV,0
